name,region,style,brewery,review
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"birra corposa e oso dire un riferimento per le stout classiche , nulla a che invidiare alle più blasonate stout"
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,Dark brown with thick creamy foamy beige head Aroma is grainy Flava is roasty grain some smokiness Feels light with soft fizz Finishes dry mildly bitter with tangy toasty malt
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"On tap in Dublin, Ireland. Pitch black with a creamy beige head. Taste is roasted malts with a distinct bitterness. Quite hearty. Good."
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,Really creamy and thick from pump in Duke of York . Really nice old man once told me doesn't travel well ( like Guinness only evenmore.
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"50cl can at home (9 II 2019), as Beamish genuine draught Irish stout. Light brownish, coffee cream coloured head - very solid and frothy, and oh so sticky and long lasting - topping a dark, black liquid with keen red glooming dashes. This is a good looking start, for sure. The nose is a bit vague, with distant metallic notes and some caramel and malt features. Maybe some toffee too. The mouthfeel has a great dryness which come with a roasted maltness and slight sweet hints. The bitterness is quite enjoyable. The body is light, coffee-like even, yet there is a creamy touch in there as well - making this an above average/classic, interesting stout. The smooth tongue is even enhanced with a fiarly low carbonation. At the back, one can spot some liquorice or raisins, some dark chocolate maybe. This is a fine, well portrayed stout."
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"50cl Can @ El Corte Ingles, Seville, Spain. Black colour with a medium size tan head. Aroma is roasted malt, coffee, chocolate. Taste roasted malt, sweet, coffee, chocolate, licorice. Medium body, average carbonation."
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"Draught nitro at The Slipper, Glasnevin, Dublin, Ireland. Poured an opaque black with a wide mahogany edge tint (deep ruby red under strong light) and 5mm of beige very dense foam that retained very well and laced OK. Carbonation not noticed. Aroma subtly sweet. Taste slightly of roasted coffee and hints of dark chocolate with a slight coffee bitterness. Medium body. Smooth and creamy with slight coffee bitterness on a moderately long finish. East drinking."
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"Cans. Brown black pour with nitro foam. Faint aroma. Taste is bitter, very roasty, way more roasty than Guinness and much less on the licorice molasses side. Palate is light bodied and creamy. Decent"
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"Not great. The trophy wife/husband of the beer world. People will think you're happily drinking a pint of the black stuff, but you'll actually be deeply unsatisfied wishing you had a proper pint. Spend that extra 50c on the real deal."
Beamish Irish Stout,"Cork, Ireland",Stout - Dry,Heineken Ireland,"black with nitro head. not much aroma cos nitro. taste is nice, medium sweet with chocolate and coffee notes. way better than guinness. actually tastes like stout!!"
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"[12oz bottle from Total Wines, Naples, FL.] A bright copper coloured pour with a loose white head; grassy aroma with some caramel; very thin in the mouth with a burnt caramel taste and little else; and a weak and watery finish. Disappointing."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"Draft. Clear amber body, small beige head. The aroma has some iron and malt. The taste is mellow."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"Aroma is mild caramel, adjunct and slight honey. Taste is bready, slight caramel and lots of rice and corn adjunct followed by a tad of bland hops."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"12 oz. bottle poured to a fest chalice at home showing a clear & bright, amber color, with a presentable layer of tan froth, with foamy dots & dashes of lacing. The nose was toasted, with a touch of caramel sweetness. Medium bodied, with good carbonation, the taste was similar, presenting a bit of malty creaminess, mild spice, and slightly roasted astringency with a touch of lingering earthiness to the finish. Not overly exciting, but food compatible, and decently drinkable."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"Poured solid amber, small head. Slight aroma of caramel, fudge, sweet toffee. Bit thinner on taste, malty bitterness, slight citrus notes. Overall not at all bad but not as solid as it could be."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,12o bottle. Pours a clear. Bright amber with a big tight white head. Scents of malt and some caramel. The malt start is followed fast by a dry almost ashy body with some barnyard in the finish. Really complex and interesting. Sort astringent finish with some sours lingering. A good balanced but complicated amber.
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"From bottle in shaker at Bourbon St., Southbank. Pours clear amber w/off-white head, modest malt aroma. Caramel sweetness without much bitterness to balance."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,12oz bottle purchased at Walgreens. Pint glass. Copper light amber color. Quarter finger off white head. Smells slightly metallic. Malty cereal. Taste is very mild sweetness with an odd bitterness and a slightly skunky off flavor. Pretty unpleasant. Only consume in desperate situations.
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,"Bottle in new Orleans with commonmac and samalito and rosskyle and crew. Light red copper with medium off white head . Malty, thinner. Not great."
Abita Amber Lager,"Abita Springs, Louisiana, United States",Amber Lager - Intl / Vienna,Abita Brewing Company,12oz bottle pours a clear amber with a small khaki head. Sweet caramel malt and lager yeast aroma. Taste of sweet caramel and toffee malt with some hop bitterness and lager yeast on the finish. Meh.
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"zapach dość intensywny, słodki, słody, liście z kukurydze, gorzkie zielone liście, trochę stare drożdże, odrobina spieczonego mleka, lekka wanilia, odrobina alkoholu. wszystko dość dobrze ułożone. kolor złoty, dość jasny, lekko opalizujący, piana biała, niezbyt obfita i niezbyt trwała. w smaku pełne, słodowe, lekko liściaste, sporo starych drożdży, trochę ziemi i wilgotnej piwnicy, odrobina jabłek i ogonków, lekkie gorzkawe nuty alkoholu i ruskiego szampana. przypomina bardziej wyrafinowane 'chamskie super mocne'. goryczka umiarkowana do niskiej, drożdżowa, alkoholowa, lekko drewniana i liściasta. nasycenie umiarkowane. lekko grzeje w usta."
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,355ml Flasche. Klar und hellbraun mit minimaler Schaumkrone. Leicht malzig. Herb im Antrunk. Eher leichter Körper.
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"Aroma is mineral water, caramel and a mild vegetal note. Taste is light sweet malts, caramel, honey and a mild ry spiciness."
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"Golden with a thin, frothy head. Very little aroma—bready, a bit. Taste is blandly sweet, full of dough and grains. Mild, crisp bitterness at the end. Underwhelming. This is misclassified and should be a „Heller Bock“. An attempt at one anyway."
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"I am very interested in the genetic heritage of the reviewers who participate in this beers review! I once took a test of my pallet preferences and it directly correlated to my ancestors home country. Seems that people (like myself) from Baltic region, have a different preference for taste! I like this beer very much. My like differs from the average review. I read the package info and it states it is, for the most part, a German Perle Hop, and a German Lager Yeast, beer. carton implies that it pairs with exactly what I was eating when I originally fell in love with this beer, (anything crawfish, and as I can attest ""alligator and shrimp"". carton also goes on to state that it is goes good with Gorgonzola and Blue Cheese dishes. If this sounds like a good beer for your dinning preferences then I suggest you try it! I must admit that when I have the opportunity to have it on draft (when I'm in New Orleans) it is a real treat when I'm eating true Cajun Cooking. If you haven't noticed, I'm not about to give you a description of the beer as others have. My so called pallet is unique to me and I can not begin to describe it in the terms that the other reviewers have described, as I don't imply I have an ability that rivals the gods, but I like it with what I like to eat. Can you sit and drink it like your favorite watered down beer? No! But I think you owe it to the craftmanship of the brewers art, to try this beer when the opportunity arises! I live in Missouri and have to special order this brew from one of the few places that have access to it. I recently purchased three cases and I can honestly say this is a staple in my pantry!"
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,12oz bottle clear golden color thick foamy head smell bread alcohol light hops malts dried fruit taste of dried fruit hops bread mild bitter aftertaste can feel the alcohol creep in after. First bock I've drank don't know much of em
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"I’m not an expert on bocks or doublebocks for that matter. This is the smoothest one I’ve had so far. Great balance of flavors, though I suspect that with a doublebock I should be getting something stronger. For now I’ll say this is my favorite, but who knows what will happen down the road on my doublebock journey. ---Rated via Beer Buddy for iPhone"
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"(12oz bottle, part of a variety 12-pack) AROMA: very light/soft nose. hint of malt, hay, biscuit, detergent APPEARANCE: slightly brownish straw yellow. creamy yet thin head. hint of haze. TASTE: moderately rich malt, graininess that leans toward corn. some alcohol but not too much, dried and roasted fruit, dark toast, dark green vegetables, grass, bitter mocha/coffee, touch of bran. As noted, not very sweet. PALATE: medium body ... not that heavy. front is smooth and watery, then a bit more richness kicks in with a nice bitter and mostly dry finish. OVERALL: don't drink Doppelbocks very often so can't provide any sort of comparative opinion. This beer is lighter and easier to drink than expected. Looks like a robust lager, but it tastes like a lager blended with a Belgian Strong Ale or Abbey Dubbel. So, still easy to drink but considerably more punch than most every day beers. Nose is pretty weak, appearance is average, but it has some nice Strong Ale/Bock flavors. I wasn't too fond of this on the first couple sips, but I found it to be a respectable (if slightly off-balanced and one dimensional) beer."
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,"Pours dark chestnut with a tan head. Aroma is nuts, dried fruit and some roast. Taste is raisin and almond, moving to roast and light citrus. Finish is smooth roast."
Abita Andygator,"Abita Springs, Louisiana, United States",Bock - Doppelbock,Abita Brewing Company,From a 12 oz. bottle. Pours a clear gold with a thick off white head. Aroma is bready. The flavor is moderately sweet bread dough and lemon zest.
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;This reminds me more of a Pilsner or ESB vs. Bock. A lighter feel than the average in this style. Weak on the caramel malt. Flavor and feel barely above average. Actually one of the better Abitas that I've sampled, but just not good enough to want again.
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;Bottle. Pours a golden color with a small white head. Has a fruity malty caramel aroma. Fruity malty caramel flavor with hints of dark fruit. Has a fruity malty caramel finish.
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;12 ounce bottle poured into a brandy snifter. The beer is a clear gold with a white head of foam. Good head retention. Fruity and grainy aroma. The taste is lightly floral and bitter. A little bready. Everything seems muted in the taste. Aroma waa good, but taste just falls short. Medium body and medium carbonation.
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;12 oz. bottle labeled “Mardi Gras Bock”. AROMA: Slightly sweet with scents of bread dough, malt, and caramel. APPEARANCE: Pours a golden, clear amber with a tall, white head that dissipates slowly. TASTE: Slightly sweet with flavors of bread and caramel. PALATE: Medium-bodied but just a tad on the thin side. Carbonation is average. Finish is dry and has a (very) slight antiseptic taste. OVERALL: Better than your average “grocery store” beer, but by no means is a “great” beer. This is a beer that I would label as “premium pool party beer”. Meaning, people would be very impressed if you served this at your next pool party, but it would not impress your beer aficionados friends.
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;"12 Fl Oz bottle (as Mardi Gras Bock) on 2nd Mar 2019 while staying with my daughter in Orange County, California. Clear and clean amber body, thin and wispy white head. Cinder Toffee aroma, sweet malty molasses in the flavour with caramel notes to the fore. Bought in a Trader Joe's, cooled and drank after a huge Pizza; I am stuffed, but still enjoying this beer as I write this, it's like my dessert I suppose."
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;12 ounce bottle at the house. Smell sweet and grainy. Light off-white head. Deep golden in color. Taste the grains and has a sweet taste to this beer. Light bodied with sweet after taste. Not what I was expecting, but pretty good. Good for a party beer. Cheers!
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;"Bottle labelled as ""Mardi Gras Bock"". Poured clear amber with a 3-finger off-white head. Mild, grainy aroma. Maybe a touch of caramel. Body is medium-to-full with a mildly dry finish. Stereotypical malty flavor, with nutty and caramel notes."
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;"Draught at Perch Brewery as ""Mardi Gras Bock"", 3/9/18. Clear, goldenrod-to-light-brass. Thin white head showing low retention. Waxy, vague, mineralesque nose does not feel anywhere near as malty as a bock should. Some vanilla, light honey, vague grain and light cereal really go nowhere and there's a touch of corn and alcohol lingering. In the mouth it's quite thin, bland, loose of texture and with an undermalted, borderline husky character and uninteresting, poorly developed flavors of vanilla, cereal and light, thin honey."
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;5/5/18: $1.66 + tax at Binny's. 12 oz pour into into chalice. Light copper bronze pour, one finger white puffy head, thin lacing remains. Light malt and cinnamon aroma. Very light negligible taste. Mild carbonation, thin texture. Won't seek this out again.
Abita Bock;Abita Springs, Louisiana, United States;Bock- Heller Bock / Maibock;Abita Brewing Company;Clear gold. Grainy, full palate, sweet finish. Draft at the Brass Tap in National Harbor, Maryland.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;12oz bottle at home in a snifter. Very clear, golden amber pour with very little head. Aroma is mild caramel, Wurthers candies, un-iced doughnut, and butter. Taste is very mild (almost bland) caramel, butter, toffee, doughnut. Very thin mouth, rather slick oil. Pretty unimpressive.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;12 oz bottle from notes. Pours a clear dark golden/light brown color with a small off white head. The aroma and flavor have lightly toasted bready malts, straw, light fruit, mild earthy hops, rather bland.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Pours coppery orange with white foamy head and minimal lacing. An underwhelming fall ale that has very few aromas and tastes like citrus and sweet malts. My least favorite Abita beer so far.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Found this one to be a bit watered down. Aside from that it’s what you would expect from a fall beer - on the darker side, with a maltier taste. Was not impressed.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;12oz bottle pours with a crystal clear copper body that has thick gold edges and supports a thin mocha colored head. The aroma offers up winter spices, a spicy maple note and some malts. The taste has some nice winter spiciness and a bit of spicy maple like notes and then it slides deep into sugar sweet maltiness. Behind those notes are some sweet apple and pear like fruity esters that only build onto the sweetness. This would be more enjoyable if it had better balance between all the sweetness and the slightly roasty to spicy notes.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Aroma Is sour pissy, pilsner. Color is clear dark yellow. Zero head. Tastes is crisp hops and barley, but no depth. Sour aftertaste. Feel is flat. Disappointed. Poor beer. Yuck.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Bottle from North Park Liquor store: Created a thin layer of film covering for a head while the color of the beer is a solid gold as if king Midas himself had touched the liquid. My nose detects a faint aroma of grained wheat and grassy hops with an ever present chance of alcohol. The flavor is bitter with minor amount of wheat like malt and very little notice of grassy sour notes of hops almost in a European like fashion. Overall, this is a poor attempt at a Marzen style, but this did come from Abita which hasn’t been known to impress me.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Bottle into a glass. Pours amber. Aroma of skunkiness and sweet malt. Taste is skunkiness, cereal,a slight hop bite. Good boost level though.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Pours a clear amber color with a small head that fades to bits of lacing. Aroma is on the mild side with roasted malt, bit of malt sweetness and a bit of hops in the background. Taste of roasted malt, bit of caramel sweetness and a hint of chocolate. Has a subtle bitterness and a clean finish. Fairly medium body, crisp, quite smooth and refreshing. Not a fancy Oktoberfest, but still enjoyable.
Abita Fall Fest;Abita Springs, Louisiana, United States;Märzen / Oktoberfest Bier;Abita Brewing Company;Draught @ The Ginger Man, NYC. Pours clear amber with smll off-white head. Clear aroma of malt with hoppy and estery touches. Sweetish, eatery flavour with a good deal of skunk and malt. Skunky aftertaste. Nothing really special.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;"A reliable and well-distributed beer in Norleans. Hoppier than most browns, and that;s important to me. Malt that's rich but not sweet, toasted grains, a tad of chocolate. Aroma more on the sweet side, with toffee and a little sawdust."
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;zapach przyjemny, średnio intensywny, ciepły, karmelowy, bardzo lekka kawa zbożowa, pieczone żołędzie, trochę spieczonej skórki od chleba, całość dość wytrawna. kolor ciemnoczerwony wpadający w brąz, klarowny, piana średnio obfita, dość trwała, beżowa. w smaku intensywne, pełne, wyraźny, dość ciemny karmel, melasa, sporo cierpkich, suchych ziół, trochę ciemnego toffi, okrągłe, lekko biszkoptowe. goryczka umiarkowana, karmelowa, ziołowa, lekko alkoholowa. w ustach pełne, okrągłe, lekko garbnikowe, ale przyjemnie. nasycenie umiarkowane
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;Bottle share at Craft Beer Rising 2017, Brick Lane. Deep ruby and hazy with an offwhite head. Malty aroma with nutty and grassy notes. Flavour is a little on the sweet side with biscuity, cakey notes.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;Draught @ Fox & Hounds, Sønderborg, Øllets Day 2019. Pours cloudy coffee brown with airy light tan head. Mild aroma of malt and yeast, with coffeelike touches. Bitter, roasty flavour with notes of hops and nuts and sweetish touches of yeast and malt. Roasty and nutty aftertaste with estery hints. Tame. Drinkable and reasonable but much less than what used to. e the standard for the brewery. Go back to your no le roots, Abita.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;This bottle is coming from the biervana, at Munich, enjoying and tasting this bottle, at home, at Epalinges, two days ago. The body is dark and brown, a bit troubled, normal carbonation, thin white and brown foam. In my point of view, it is a reasonable brown ale, not bad at all, with a touch of malt, nuts, bready, dry with a classical touch of hop, at the final.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;Bottle, 5.6%. Bready aroma. Very dark brown colour. Small light brown head. The flavour has some brown sugar. Low bitterness. Fruity finish.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;Robe brun très sombre, mousse brun clair, correcte. Nez riche: noix, fruits secs, puissant. Bouche légèrement amère, grillée, toastée, avec beaucoup de fruits secs. Texture plutôt sèche. C'est un peu raide mais original. Presque aqueux.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;Bottle. 5.6%. Best before 01.10.20. Pours a clear, deep reddish amber/chestnut brown, with a light tan head. Okay lacing. Sweetish, (overripe) fruit and light malty aroma, with a hint of cooked vegetables. Remote hint of rubber as it warms, followed by a hint of nuts. Flavour is (dark) fruity, malty. Light metallic overtone. Bitter finish, hint of chocolate. A wee bit dry. Ashy hint. Mild alcohol burn. Lingering grassy note. Overall so-so. Generic and unbalanced. 22.07.19.
Abita Turbodog;Abita Springs, Louisiana, United States;Brown Ale;Abita Brewing Company;Dark brown. Bready aroma. Suryp. Bread. Caramel. Malty. Nice, but musty. Basement.
