MacParker's Ale;Ithaca                         ,New York,United States;Pale Ale - English;Ithaca Beer Co.;Copper colour with absolutely no head. Mild hop aroma with balanced malt. Decent english hop taste mixed with a citrus/lemony taste. Aftertaste a bit metallic,not half bad though. Overall,a decent EPA,not too great though. I had this on draught at MacGregor's in Rochester,New York on 28-October-2003.
Five Islands Strawberry Blonde;North Wollongong,NSW     ,Australia;Flavored - Fruit;Illawarra Brewing Company;"Felt like a fool ordering this but I've never had strawberry beer so I couldn't not have it. Could find no strawberry character at all. Aroma of dodgy homebrew (yeasty). Not much flavour besides a nice, clean sourness presumably from the fruit. Reminded me of a mild Berliner Weisse or something. Refreshing enough but hardly exciting. Extra points for their description: ""Finally, a beer designed for the female market. We have infused a very lightly hopped pale ale with strawberries in the brew kettle to produce a beer that has sweet characteristics yet not the calories."" hehe"
Five Islands Strawberry Blonde;North Wollongong, NSW, Australia;Flavored - Fruit;Illawarra Brewing Company;in a surprising display of honesty, the brewmaster wouldn't serve filthmuppet a glass of this,saying it was awful. i had a a small sample and had to agree. looked just like a standard premium lager with some nasty fruit tella in the aroma. tasted of redskins with something nasty and metallic lurking in the background
Five Islands Lighthouse Light;North Wollongong, NSW, Australia;Low / No Alcohol Beer;Illawarra Brewing Company;On Tap at the Five Islands Brewery. Arrived golden yellow with a chilled haze and a small frothy, white head which was average lasting. Aroma was of sweet musty malts with honey, brewing sugar, hints of diacetyl and a touch of mandarin. Flavor was of sweet malts with a light bitterness, honey, wet cardboard and a metallic finish. Light bodied with lively carbonation, a dry mouthfeel, watery texture and a short finish. Much more dinkable than most light beers.
Five Islands Lighthouse Light;North Wollongong, NSW, Australia;Low / No Alcohol Beer;Illawarra Brewing Company;Looks like a light beer and yes it tastes like a light beer regardless what the blurb says. Been there and done that.
Five Islands Lighthouse Light;North Wollongong, NSW, Australia;Low / No Alcohol Beer;Illawarra Brewing Company;This beer was infected. It tasted very sour and had a musky middle palate. Not refreshing at all. Didn�t drink the rest. Possible wild yeast infection unfortunately.
Five Islands Lighthouse Light;North Wollongong, NSW, Australia;Low / No Alcohol Beer;Illawarra Brewing Company;i'll give this a couple of bonus points for being the first light beer i've ever drunk that i could actually conceive of drinking again. quite full-bodied with fresh oily hops
Five Islands Lighthouse Light;North Wollongong, NSW, Australia;Low / No Alcohol Beer;Illawarra Brewing Company;sweet and honeyish, with crisp lemony finish, like a k�lsch with half the alcohol. nobbad.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;Had on tap at brewery Lighter style IPA. Light shade of orange. Lots of resin and orange in the smell. Fairly light bodied and not overy hopped. More of the oils from the hops. Oh well. It was decent though
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;On tap at the FIBC. Lack of prescribed aroma, only just enough bitterness for an IPA with aluminium and yeasty off-flavours dominating quality of this product.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;(On tap @ Local Taphouse Spectapular) Looks like I�ll be the outlier here. I thought this beer showed well as a lighter IPA style. Very subtle and dry throughtout, and the light herbal hops, partlicularly in the back palate, showed a fair bit of class. Definately a better keg on this tasting than previous notes would suggest.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;On tap at brewery. So so awful. Aptly named, as I can�t imagine a glass of shark oil would taste much worse. In fact, I�d probably risk a swig of shark oil to wipe out the aftertaste.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;Trid as a sampler at the brewery. The taste lets down the expectation of the wonderful fresh hop aroma. Slightly dull floral taste, a little thin, good bitterness at the end.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;RE-RATE: On Tap at the Five Islands Brewery, 5%. I let this warm about an hour prior to tasting. Arrived hazy orangey copper with a dense foamy head which lasted superbly. An odd spicy/wattle hop aroma with notes of roses, sweet caramel malts, passion fruit, peach nectar and a touch of butterscotch. Flavor was a moderate floral hop bitterness with sharp rustic/metallic notes, dry biscuity malts, caramel, passionfruit, mandarin and some resin in the finish. Light to medium bodied with soft carbonation, a dry/resiny mouthfeel and an average finish. Better than first time around, seemed just a tiny bit hoppyer.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;strong hop bitterness up front. that smell of high alpha hops maybe chinook? first sip starts sweetish but finishes dry and resiny bitter. not much yeast personality but a definately an ale. nice drop and if you have the palate for it an all night drinker, but not for the first time craft beer drinker.
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;strangely oily aroma but otherwise unaromatic. some bitterness hits you first and then some honeyed sweetness. from chatting with the brewer, it is apparent that he likes a lot of hops but the good folk of wollongong perhaps aren't ready for them in large doses. quite a lagery texture - not ale-like at all and could do with more guts
Five Islands Parkyns Shark Oil;North Wollongong, NSW, Australia;IPA;Illawarra Brewing Company;smells heavily of diacetyl and not much else, maybe a trace of hops. flavour is similarly afflicted - i know i said on a recent forum post that i like diacetyl, well, not in IPAs. flavour is heaps of sweet honey butter with pungent peppery bitterness. texture is way too syruppy and sickly.
Five Islands Halloween Ale;North Wollongong, NSW, Australia;Flavored - Other;Illawarra Brewing Company;On tap at the brewpub. Wasn�t a big fan of this one, but was still ok. Pours a golden orange, with a small off white head. Not much in the aroma, taste is quite strong pumpkin pulp, a very light cinnamon, and toffee.
Five Islands Halloween Ale;North Wollongong, NSW, Australia;Flavored - Other;Illawarra Brewing Company;Draught at The Local Taphouse, Melbourne. Appears rusty orange with a small white head. Lightly spiced on the nose and sweet sugars. Doughy malt and pumpkin flavour. Sweet and bitter finish. An interesting beer and first pumpkin ale I�ve tried.
