name;region;style;brewery;review
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;Old ass bottle. Poured a brownish color with a medium sized off white head. Toasted malts, earthy, and definitely showing its age.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;nutty toasty aroma. Flavor is resin, vanilla, and clove. Palate is medium bodied with moderate hop bitterness. Smooth and easy drinking, could be a session brew. Slight raisin in the finish. Reminds me of Magic hat #9 slightly in memory. I bought a sixer and was willing to take my meds if this wasn't good, but it turned out pretty solid. Nice brew.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;Pours garnet light brown. Sweet cookie aroma, toffee. Sweeter beer with tons of cookie dough malt flavor. A little cocoa. Oily and sappy. Finish is also sweet and big malts. Some raisins. Enjoyable and tasty!
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;0.355l bottle thanks to Cristobal37. Dark copper body with a thin white head. Huge biscuit notes in the aroma with some spicy hops, caramel, nutmeg and raisins. Taste of toast, caramel, raisins, orange zest, spicy hops and gingerbread cookie. Nice one.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;12 oz bottle into a La Chouffe stemmed tulip glass on 8th Jan 2018, while on holiday in California. Dark mahogany body, beige crown on top. Malts to the fore here, in both the nose and taste, sweet malty molasses with caramel and light coffee flavours blend together nicely before a mild hop finish. My sweet tooth really took to it.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;Bottle in Seattle. Dark amber brown, mostly clear, small head. Nice roasty malt aroma, solid English character. Dark ale sip, nicely metallic and slightly burnt malt. Cool character distracts some, I'd love this a little fuller bodied. Amber bitterness. Quite nice.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;Bottle from World Market in Redwood City, CA. Aroma is caramel, spiced plums. Taste is creamy caramel, fruity malts with a bitter, spiced woods-y finish. Excellent NW winter warmer.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;Bottle. Clear deep amber color, thick tan head with good retention and lacing. Aroma of burnt caramel. Taste is earthy toasted caramel. Warming.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;Shared 12 oz. bottle. Pours a clear dark amber with a beige head. Malt and spice on the nose. Taste is quite malty, with sweet caramel and holiday spices.
Full Sail Wassail;Hood River, Oregon, United States;Strong Ale - English;Full Sail Brewing Company;"Aroma: sweet and malty; Appearance: dark amber with thin white head that dissipates slowly; Taste: follows nose with dry, strong notes; Palate: heavy body with long, sweet finish; Overall: almost too sweet but underlying dryness saves it; will probably not get again, however."
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;A little old perhaps, couldnï¿½t tell the date. Aroma is a little dusty, but the flavor was solid. Nutty, earthy with light caramel toast and fruit.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;Dark bronze, clear with yellow foam. Raisins, toffee in the aroma. Sweet, toffee, fruit with strong metalic bitterness in the aftertaste and a hint of alcohol.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;Clear bright penny copper with a thin foamy white top. Big lovely toffee pale english malt on the aroma with a slight grassiness. Smooth and slightly bitter flavor, perhaps the most bitter ESB Iï¿½ve had in a while (not that bitter overall but probably similar to how true Brits taste ESBs back in the day) with quite a bit of grassy hop flavor, English Marris otter pale malt biscuitiness, and a smoot nutty finish with a quiet grassy bitterness on the aftertaste.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;12 oz bottle. Pours a deep dark orange color, some off-white head, not much lacing. Aroma is caramel malt and faint floral hops. Flavor is crisp and bitter, with a malty aftertaste. The palate feels thick and chewy. Look out, this one packs a wallop.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;"Poured from 12 oz bottle into pint glass. Appearance: pours a 1"" off white head that falls quickly with just a hint of lacing. Color is mostly clear copper with mild streaming carbonation. Aroma: malt dominate -- bread dough and a bit of toffee. Hops are floral with a little citrus rind as well. Mouthfeel: light to medium bodied with a fluffy ale mouthfeel. Finish is dry and somewhat boozy. Flavor: toasted bread, toffee, raisin and other ripe fruit. WIth a lingering floral, citrus rind, and even a bit of pine hops. Overall: a very good and enjoyable ESB -- although the 6.5% is a little high as the BJCP guidelines top out at 6.2% -- thus the beer is a little too boozy and would be limited for sessionability."
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;Bottle. Amber-brown beer with a tan head. Caramel and light citrus aroma. Caramel and citrus flavor with light woodsiness. Medium bodied. Caramel and citrus lingers with light earth and light toffee.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;"Pours a clear coppery color with off-white head. Caramel malts, toffee, and some spice on the nose; follows onto the palate. Medium bodied. Finishes with more caramel and toffee flavors, with the sweetness balanced out with just a bit of bitterness."
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;Pours clear deep amber with a thin, rapidly diminishing beige head. Aromas of toast, caramel, earth, grass, with the barest hint of banana and a light floral note. Medium-light body, moderate carbonation. Lightly sweet, medium bitter with a lasting nutty, almost astringent dry finish.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;Bottle. Head is initially average sized, frothy, off-white, mostly diminishing. Body is medium to dark amber. Aroma is lightly to moderately malty (cookie, caramel, biscuit), lightly to moderately hoppy (apricot, flowers), lightly yeasty (dough), with notes of toffee and black tea. Flavor is moderately sweet, lightly acidic, lightly bitter. Finish is lightly to moderately sweet, lightly acidic, moderately bitter. Medium body, watery/velvety/syrupy texture, lively carbonation, lightly alcoholic. My second sampling of this and happily itï¿½s as good as my first impression...it looks like someone actually put some effort into this one, which is becoming rarer and rarer at Full Sail sadly. Itï¿½s enticingly cookie-ish and apricotty, and while it starts sweet (in a nice lip-smackinï¿½ way), thereï¿½s quite a bit of apparent bitterness in the finish (only 35 IBU, really?), so itï¿½s quite delightful to drink.
Full Sail ESB (Extra Special Bitter);Hood River, Oregon, United States;Bitter - Premium / Strong / ESB;Full Sail Brewing Company;Bottle from Fred Meyer. Clear pure amber in color. Lightly sweet earthy hop nose. Clean earthy hop flavors. A good spicy bitter hop finish. Fairly rich malty flavor with some good earthy hop notes.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;Full Sail Brewing Company--Pilsner--2000 12 oz. Bottle. 5.40% ABV. (4.25 / 5.0) Pilsner--Clear light bright golden color. Floral Saaz nose with enticing delicate bouquet. Crisp clean rich malty body has floral light lager fruit underpinning. Light clean ctrus hop end. Light lacy head. Sampled 6/10/2000. Full Sail Brewing Company--Pilsner--Summer Seasonal--2001. 12 oz. Bottle. 5.40% ABV. (4.5 / 5.0) Clear rich bright golden color. Light malt hints enliven rich easy smooth Saaz floral hop front. Crisp smooth malty light caramel fruit body. Mild dry sweetness. Balanced dry sweet spicy hop end. Lacy head. Sampled 5/29/2001.
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;"Date: 10/15/1996 Source: Brewpub clean yellow, thin head, mild hop aroma, clean crisp hop flavor with just the right amount of sweetness, light bitter finish Aroma: 4/10; Appearance: 4/10; Flavor: 2/10; Palate: 2/10; Overall: 5/20 Rating: 1.4/5.0 Score: */4 -------------------------------------------------------------------------------------- The score was calculated based upon the notes and an old scoring system."
Full Sail Pilsner (-2006);Hood River, Oregon, United States;Pilsener / Pils / Pilsner;Full Sail Brewing Company;Golden with minimal head. Aroma is malt with light earth. Flavour has a nice maltiness with noticeable saaz on the finish. Clean trhouout. Nice well made pilsner.
