Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Draught (Geldart, Cambridge) Spicy fruity aroma, a fair bit of apple there. Flattish palate, but at this strength it’s a nice quaff that slips down easily to quanch a thirst or accompany a meal. Taste has some honey aspects. Simple pale bitter, not unpleasant, but not exciting me either.
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Refreshing golden ale on cask at the source at bowland beer hall clitheroe some bread and hint ofcitra
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask at the ale emporium, Preston. Pours clear golden with a thin white head. Aromas of light lemon, light malt. Taste is light sweet lemon. Thin finish.
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask @ Eagle in Barrow near Clitheroe. Mid-yellow with a very small head. It’s dry hopped, evident in both aroma and texture with some fruits, but not much. A very good session ale though as it’s very easy to drink.
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask by handpump at Bon Accord, Glasgow (9 Feb 12) - clear golden ale with small off-white head, lightly hopped, a bit watery, neither bitter nor sweet
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask conditioned at The White Star, Liverpool. Thin and dry beer, lacks some flavour to me, I didn’t get the citrus flavours that were promised. Reasonably dry finish, just a bit bland really.
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask Stillage at the Metropolitan Cathedral Crypt, Liverpool 19/02/2004 Golden and slightly hazy appearence. Some fruit and a slightly dry bitter finish.
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask at Reading Beer Festival. Golden colour, malt and tangy hops, citrus fruit. Good in mouth, longish dry finish
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;out of the barrel at Peterborough beer fest 2004. a lovely beer full of hops and citrus aroma, but soft on the mouth and easy drinking. A good beer from a new brewery.
Bowland Gold;Clitheroe, Lancashire, England;Blonde Ale / Golden Ale;Bowland Brewery;Cask Conditioned, at the Head of Steam, Euston, London. Golden colour with a white lacy head. Green hop aroma which is quite generous for a real ale. Nice hoppy flavour that delivers good bitterness, despite fading a little towards the end of the beer.
Hop Back Spring Zing (Cask);Downton, Wiltshire, England;Blonde Ale / Golden Ale;Hop Back Brewery;Cask pint in the Pheasant, Wellington Shropshire on 17th April 2016. Light golden pour with a full white head. Floral nose and flavour: sun was shining, suited the beer. Nothing overpowering or strong to be found here: subtle nose and taste. Refreshing more than tasty, but decent enough for a Sunday lunchtime throwing beer.
Hop Back Spring Zing (Cask);Downton, Wiltshire, England;Blonde Ale / Golden Ale;Hop Back Brewery;Golden color with a thick white head. Moderate malty and mild citric aroma. Smooth and easy drinkable, light fruity, malty and mild citric hoppy flavor. medium body and a soft carbonation. [Handpull at Peter Kavanagh’s in Liverpool, England]
Hop Back Spring Zing (Cask);Downton, Wiltshire, England;Blonde Ale / Golden Ale;Hop Back Brewery;Cask at Tree Folks, Rome. Paler yellow, creamy white head. Pale, salty, yeast and apples. A bit of cellar. Pale yeast and fermentation. Nothing special.
Hop Back Spring Zing (Cask);Downton, Wiltshire, England;Blonde Ale / Golden Ale;Hop Back Brewery;On handpump at Tree Folk’s pub in Rome-Italy, with luttonm. Pours a proper golden semi-filtered color, tick creamy white foam. Nose: lemony and slightly yeasty. Mouth: soft yeast note, frizzy lemony skin feel, bread crumb, grains. Average!
