Svevo Valerius Ale;Bari, Italy;Altbier / Sticke Alt;Birrificio Svevo;"Draught at ""Salone della Birra Artigianale 2007"" - Milan. Slightly dark yellow color light and fine fizz. Light and homogenous head of short resistance. Fresh and flowery scent with herbaceous and spiced notes which anise and dried malt. Typical taste, bitterish and slightly smooths down. Modest final body with pleasant alcoholic content."
Kisoji Alt;Kiso-gun, Nagano-ken, Japan;Altbier / Sticke Alt;Kisoji Barley House;Can. Pours a deep brown. Berry fruit on the nose. Plenty of fruit in the mouth as well. Quite a rich palate, some hints of wood. Quite suppable.
Kisoji Alt;Kiso-gun, Nagano-ken, Japan;Altbier / Sticke Alt;Kisoji Barley House;Draught at the brewery. Shiny, glowing red-amber with a rock head. Bubbly. Faint aroma of cherry and minerals. Rich caramel flavor—sweet, with a bit of chocolate and a bitter finish. Caramel is a bit funky. Earthy, wit minerals and butter. Falls behind their other beers.
Kisoji Alt;Kiso-gun, Nagano-ken, Japan;Altbier / Sticke Alt;Kisoji Barley House;Medium light beige shiny creamy head. Amber body. Metallic wooden caramel aroma. Taste is sweetish roasty caramel with floral notes. Dryish caramel aftertaste. Not bad, but a bit boring. (0.35l on draft.)
Azumino Pilsener;Azumino, Japan;Pilsener / Pils / Pilsner;Azumino Brewery;Golden color with an outstanding lovely nose. I just love beer with raw sewage, cornstarch and unknown chemicals. Like a science experiment and who doesn’t like experiments? Light body and now I can taste these mysterious lovely adjuncts I smelt in the nose. AWESOME. Too bad the finish is tasteless, I was hoping for so much more.
Azumino Pilsener;Azumino, Japan;Pilsener / Pils / Pilsner;Azumino Brewery;"My Bottom Line: Herbal hops and complacent cereals achieve balance in this simple and effective Pilsener which might lack crispness. Further Personal Perceptions: -A veil of foam tops the clear golden. -A light whiff of diacetyl vanishes soon enough. -The herbal, spicy hop bitterness is subdued, but logically follows the flavor profile. -The prickly carbonation enlivens the svelte body. Bottle; best before July 10th (had on June 24th)."
Azumino Pilsener;Azumino, Japan;Pilsener / Pils / Pilsner;Azumino Brewery;Medium shiny offwhite coarse head. Deep yellow body with carbonation. Vague, mealy apple aroma. Dry, full, fruity malty taste with notes of apple, straw, and paper. Dry, grassy paper aftertaste. Nothing special about this one. (0.33l bottle.)
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;On tap at the brewpub. Pours a clear deep yellow with a thick white head. Aroma of sweet flowers and light malt. Flavor of crackery malt (very malty) and a bitter hops finish. Decent malty beer. I had this about a year ago and didn’t like it at all, but this time around I did enjoy it. 7/4/7/4/14 (3.6/5)
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;A pale wheaty haze and a film of foam that looks like a cartographer had something to do with it. Very little aroma here bar some dusty cereals. Sweet with hints of deep fruit. Quite Belgian or BDG flavours. It has a nice spicy sweet finish. Quite still but with a good oily texture and nice residue. Sweet. Laid back and low down?
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;A hazy golden ale with a thin creamy white head. A light sweet aroma with faint hops and honey. In mouth, a light yet pleasaing fruity ale with light notes of ginger. Rather light but interesting. On tap at brewpub, Inbièrenationale IV, May 2007.
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;On tap at the brewpub. Definitely it’s own beast. Aroma not terribly strong, floral hops, a malt base most reminiscent of caramel malt, but somewhat more roasted. Flavor opens up more, bittering hops, charred/tar-like malt, bitter coffee, bitter chocolate, honey. Got a bit tiring by glass’s end with its weird second-running character exhibiting more and more of that tar aspect. Still, very interesting, and not half bad.
Willimantic Party Gyle Pale;Willimantic, Connecticut, United States;Pale Ale - American / APA;Willimantic Brewing Company;Soft off-white head that leaves nice lacing, atop lightly hazed light amber body. Aroma is medium sweet, chocolate, rye, grapefruit, some caramel. Taste is medium sweet, chocolate, rye, grapefruit, some caramel. Light-medium body.
